dcode,dname,month_year,value
1046,คลองสามวา,jun_61,6258.45
1043,คันนายาว,jun_61,4733.23
1030,จตุจักร,jun_61,13604.8
1035,จอมทอง,jun_61,6733.89
1036,ดอนเมือง,jun_61,6542.69
1026,ดินแดง,jun_61,9011.95
1002,ดุสิต,jun_61,5311.6
1019,ตลิ่งชัน,jun_61,4557.22
1048,ทวีวัฒนา,jun_61,3391.67
1049,ทุ่งครุ,jun_61,4304.1
1015,ธนบุรี,jun_61,4972.64
1020,บางกอกน้อย,jun_61,5167.26
1016,บางกอกใหญ่,jun_61,2430.94
1006,บางกะปิ,jun_61,10738.1
1021,บางขุนเทียน,jun_61,10484.6
1005,บางเขน,jun_61,9622.26
1031,บางคอแหลม,jun_61,4247.16
1040,บางแค,jun_61,8857.47
1029,บางซื่อ,jun_61,5091.98
1047,บางนา,jun_61,7153.92
1050,บางบอน,jun_61,7033.23
1025,บางพลัด,jun_61,4804.5
1004,บางรัก,jun_61,4851.46
1027,บึงกุ่ม,jun_61,6334.08
1007,ปทุมวัน,jun_61,9156.05
1032,ประเวศ,jun_61,9609.78
1008,ป้อมปราบศัตรูพ่าย,jun_61,2502.78
1014,พญาไท,jun_61,5508.47
1009,พระโขนง,jun_61,4559.81
1001,พระนคร,jun_61,6010.62
1022,ภาษีเจริญ,jun_61,4998.55
1010,มีนบุรี,jun_61,6058.66
1012,ยานนาวา,jun_61,5917.59
1037,ราชเทวี,jun_61,6945.94
1024,ราษฎร์บูรณะ,jun_61,3651.39
1011,ลาดกระบัง,jun_61,9458.37
1038,ลาดพร้าว,jun_61,6965.01
1045,วังทองหลาง,jun_61,7287.36
1039,วัฒนา,jun_61,9148.34
1034,สวนหลวง,jun_61,7582.82
1044,สะพานสูง,jun_61,3905.95
1013,สัมพันธวงศ์,jun_61,1621.48
1028,สาทร,jun_61,5027.43
1042,สายไหม,jun_61,7471.77
1023,หนองแขม,jun_61,5379.47
1003,หนองจอก,jun_61,4416.93
1041,หลักสี่,jun_61,5770.65
1017,ห้วยขวาง,jun_61,7105.93
1000,อื่นๆ,jun_61,17133.26
1033,คลองเตย,jul_61,9346.7
1018,คลองสาน,jul_61,3722.18
1046,คลองสามวา,jul_61,5821.24
1043,คันนายาว,jul_61,4637.76
1030,จตุจักร,jul_61,13543.3
1035,จอมทอง,jul_61,6498.68
1036,ดอนเมือง,jul_61,6827.16
1026,ดินแดง,jul_61,8962.59
1002,ดุสิต,jul_61,5080.3
1019,ตลิ่งชัน,jul_61,4513.84
1048,ทวีวัฒนา,jul_61,3379.47
1049,ทุ่งครุ,jul_61,4187.84
1015,ธนบุรี,jul_61,5165.11
1020,บางกอกน้อย,jul_61,5132.21
1016,บางกอกใหญ่,jul_61,2488.32
1006,บางกะปิ,jul_61,10667.3
1021,บางขุนเทียน,jul_61,10173.4
1005,บางเขน,jul_61,9910.42
1031,บางคอแหลม,jul_61,4190.77
1040,บางแค,jul_61,8599.92
1029,บางซื่อ,jul_61,5067.82
1047,บางนา,jul_61,6842.68
1050,บางบอน,jul_61,6890.97
1025,บางพลัด,jul_61,4678.53
1004,บางรัก,jul_61,4683.8
1027,บึงกุ่ม,jul_61,6312.35
1007,ปทุมวัน,jul_61,9416.43
1032,ประเวศ,jul_61,9762.69
1008,ป้อมปราบศัตรูพ่าย,jul_61,2488.47
1014,พญาไท,jul_61,5552.65
1009,พระโขนง,jul_61,4560.86
1001,พระนคร,jul_61,6004.04
1022,ภาษีเจริญ,jul_61,4978.25
1010,มีนบุรี,jul_61,6091.83
1012,ยานนาวา,jul_61,5767.81
1037,ราชเทวี,jul_61,7092.56
1024,ราษฎร์บูรณะ,jul_61,3706.98
1011,ลาดกระบัง,jul_61,9648.36
1038,ลาดพร้าว,jul_61,6870.24
1045,วังทองหลาง,jul_61,7138.37
1039,วัฒนา,jul_61,9293.35
1034,สวนหลวง,jul_61,7578.08
1044,สะพานสูง,jul_61,3999.3
1013,สัมพันธวงศ์,jul_61,1650.86
1028,สาทร,jul_61,5004.02
1042,สายไหม,jul_61,7643.35
1023,หนองแขม,jul_61,5332.05
1003,หนองจอก,jul_61,4529.43
1041,หลักสี่,jul_61,5651.8
1017,ห้วยขวาง,jul_61,7130.4
1000,อื่นๆ,jul_61,17591.82
1033,คลองเตย,aug_61,9629.9
1018,คลองสาน,aug_61,3868.45
1046,คลองสามวา,aug_61,6048.6
1043,คันนายาว,aug_61,4886.96
1030,จตุจักร,aug_61,13763.9
1035,จอมทอง,aug_61,6830.38
1036,ดอนเมือง,aug_61,6847.77
1026,ดินแดง,aug_61,9327.31
1002,ดุสิต,aug_61,5351.61
1019,ตลิ่งชัน,aug_61,4641.88
1048,ทวีวัฒนา,aug_61,3471.81
1049,ทุ่งครุ,aug_61,4228.74
1015,ธนบุรี,aug_61,5130.82
1020,บางกอกน้อย,aug_61,5355.15
1016,บางกอกใหญ่,aug_61,2443.14
1006,บางกะปิ,aug_61,11236.2
1021,บางขุนเทียน,aug_61,10584.3
1005,บางเขน,aug_61,9886.74
1031,บางคอแหลม,aug_61,4360.87
1040,บางแค,aug_61,8992.11
1029,บางซื่อ,aug_61,5325.65
1047,บางนา,aug_61,6890.88
1050,บางบอน,aug_61,7042.18
1025,บางพลัด,aug_61,4957.82
1004,บางรัก,aug_61,4906.34
1027,บึงกุ่ม,aug_61,6368.43
1007,ปทุมวัน,aug_61,9881.88
1032,ประเวศ,aug_61,9761.35
1008,ป้อมปราบศัตรูพ่าย,aug_61,2538.71
1014,พญาไท,aug_61,5603.85
1009,พระโขนง,aug_61,4672.71
1001,พระนคร,aug_61,6102.13
1022,ภาษีเจริญ,aug_61,5192.11
1010,มีนบุรี,aug_61,6181.98
1012,ยานนาวา,aug_61,5908.32
1037,ราชเทวี,aug_61,7168.87
1024,ราษฎร์บูรณะ,aug_61,3768.68
1011,ลาดกระบัง,aug_61,9875.36
1038,ลาดพร้าว,aug_61,7051.5
1045,วังทองหลาง,aug_61,7374.49
1039,วัฒนา,aug_61,9531.48
1034,สวนหลวง,aug_61,7587.66
1044,สะพานสูง,aug_61,4142.35
1013,สัมพันธวงศ์,aug_61,1745.57
1028,สาทร,aug_61,5219.52
1042,สายไหม,aug_61,7730.67
1023,หนองแขม,aug_61,5631.77
1003,หนองจอก,aug_61,4535.39
1041,หลักสี่,aug_61,5755.89
1017,ห้วยขวาง,aug_61,7256.16
1000,อื่นๆ,aug_61,18919.44
1033,คลองเตย,sep_61,9213.72
1018,คลองสาน,sep_61,3534.99
1046,คลองสามวา,sep_61,5570.11
1043,คันนายาว,sep_61,4657.03
1030,จตุจักร,sep_61,13194.2
1035,จอมทอง,sep_61,6077.26
1036,ดอนเมือง,sep_61,6458.73
1026,ดินแดง,sep_61,8830.82
1002,ดุสิต,sep_61,4875.39
1019,ตลิ่งชัน,sep_61,4212.41
1048,ทวีวัฒนา,sep_61,3447.39
1049,ทุ่งครุ,sep_61,3908.85
1015,ธนบุรี,sep_61,4626.99
1020,บางกอกน้อย,sep_61,5067.47
1016,บางกอกใหญ่,sep_61,2426.53
1006,บางกะปิ,sep_61,10417.2
1021,บางขุนเทียน,sep_61,9730.34
1005,บางเขน,sep_61,9348.17
1031,บางคอแหลม,sep_61,3928
1040,บางแค,sep_61,8220.52
1029,บางซื่อ,sep_61,4859.69
1047,บางนา,sep_61,6460.68
1050,บางบอน,sep_61,6412.67
1025,บางพลัด,sep_61,4489.09
1004,บางรัก,sep_61,4778.97
1027,บึงกุ่ม,sep_61,6225.61
1007,ปทุมวัน,sep_61,9183.87
1032,ประเวศ,sep_61,9033.04
1008,ป้อมปราบศัตรูพ่าย,sep_61,2311.92
1014,พญาไท,sep_61,5548.08
1009,พระโขนง,sep_61,4432.04
1001,พระนคร,sep_61,5529.36
1022,ภาษีเจริญ,sep_61,4886.23
1010,มีนบุรี,sep_61,5853.88
1012,ยานนาวา,sep_61,5344.14
1037,ราชเทวี,sep_61,6667.39
1024,ราษฎร์บูรณะ,sep_61,3344.35
1011,ลาดกระบัง,sep_61,9053.66
1038,ลาดพร้าว,sep_61,6918.61
1045,วังทองหลาง,sep_61,7150.08
1039,วัฒนา,sep_61,9005.46
1034,สวนหลวง,sep_61,7040.22
1044,สะพานสูง,sep_61,3860
1013,สัมพันธวงศ์,sep_61,1503.75
1028,สาทร,sep_61,4719.6
1042,สายไหม,sep_61,7229.36
1023,หนองแขม,sep_61,5362.1
1003,หนองจอก,sep_61,4216.86
1041,หลักสี่,sep_61,5485.5
1017,ห้วยขวาง,sep_61,7050.1
1000,อื่นๆ,sep_61,18327.36
